policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported_bin,incident_month,incident_dayofweek,claim_to_premium_ratio
CA,300,1042.99,18,MALE,PhD,Lawyer,yachting,Single Vehicle Collision,Rear,Minor Damage,None,CA,17,1,4,5,No,22513.4,24222.45,1,6,3,21.58544185466783
FL,700,624.48,25,OTHER,Masters,Engineer,hiking,Vehicle Theft,Unknown,Total Loss,None,CA,1,4,3,5,No,20690.4,20222.56,1,2,0,33.13220599538816
PA,800,1400.0,34,MALE,High School,Sales,chess,Multi-vehicle Collision,Rear,Major Damage,Police,IL,20,2,2,2,No,10163.93,17570.58,0,3,0,7.25995
GA,200,1289.89,74,OTHER,Masters,Clerk,paintball,Parked Car,Rear,Minor Damage,Fire,MI,23,3,4,3,No,10106.49,12900.4,0,6,2,7.835156486212002
TX,200,614.53,57,MALE,High School,Clerk,camping,Vehicle Theft,Front,Minor Damage,None,IL,12,4,2,5,Yes,16839.15,23822.11,0,1,4,27.40167282313313
OH,800,656.73,52,MALE,Masters,Lawyer,yachting,Multi-vehicle Collision,Rear,Total Loss,Ambulance,FL,2,3,1,2,Yes,4336.63,4803.63,0,10,3,6.603368203066709
FL,400,652.27,64,FEMALE,PhD,Doctor,movies,Single Vehicle Collision,Rear,Minor Damage,Fire,TX,11,3,3,4,No,10731.61,20476.51,0,7,2,16.452711300535057
GA,500,1214.95,67,MALE,High School,Clerk,yachting,Single Vehicle Collision,Rear,Total Loss,None,OH,20,2,1,1,No,22857.35,21590.9,1,8,0,18.813407959175272
GA,400,1338.16,44,OTHER,College,Clerk,reading,Single Vehicle Collision,Rear,Major Damage,None,PA,7,3,2,2,Yes,11557.6,12566.83,0,9,4,8.636934297841812
MI,400,1166.84,36,OTHER,Masters,Doctor,paintball,Single Vehicle Collision,Unknown,Minor Damage,Ambulance,MI,0,1,4,2,Yes,10918.47,15037.44,0,11,3,9.357298344245997
MI,500,1067.81,72,OTHER,High School,Sales,yachting,Vehicle Theft,Front,Major Damage,Police,MI,0,3,2,0,No,21583.63,22143.76,0,7,2,20.21298732920651
OH,600,1049.98,25,MALE,PhD,Doctor,hiking,Single Vehicle Collision,Rear,Total Loss,Police,TX,12,1,3,1,No,22869.08,19248.98,0,1,4,21.780491056972515
OH,500,1346.8,57,MALE,Masters,Teacher,chess,Vehicle Theft,Unknown,Major Damage,Police,IL,14,2,3,1,Yes,10326.61,18469.51,0,5,3,7.667515592515593
NC,300,646.69,60,FEMALE,Masters,Manager,chess,Parked Car,Front,Minor Damage,None,IL,1,2,2,4,Yes,21126.58,24045.71,0,10,6,32.66879030138088
TX,1000,609.3,59,MALE,Masters,Manager,chess,Multi-vehicle Collision,Side,Minor Damage,Fire,FL,20,1,1,0,Yes,1266.32,1278.82,0,9,0,2.078319382898408
NC,700,1462.93,27,OTHER,High School,Engineer,chess,Single Vehicle Collision,Unknown,Minor Damage,None,TX,6,2,2,3,Yes,21970.95,21983.33,0,7,3,15.018456112049106
PA,1000,1115.53,45,FEMALE,College,Doctor,yachting,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,PA,13,2,2,4,No,2185.24,4215.47,0,4,0,1.958925353867668
IL,400,693.61,72,MALE,PhD,Clerk,hiking,Single Vehicle Collision,Rear,Total Loss,Ambulance,NC,14,3,1,3,No,12148.01,13868.48,0,9,1,17.514179438012714
CA,200,1495.75,46,FEMALE,Masters,Doctor,yachting,Single Vehicle Collision,Rear,Total Loss,Police,FL,21,2,4,4,No,17356.97,21472.32,0,4,1,11.60419187698479
IL,300,848.32,45,MALE,College,Teacher,yachting,Parked Car,Front,Total Loss,Ambulance,NC,7,2,1,4,Yes,6464.13,7522.2,0,12,6,7.619919370049038
MI,700,1283.18,29,OTHER,High School,Technician,paintball,Parked Car,Unknown,Total Loss,None,NC,16,3,0,2,Yes,5724.94,8921.08,0,9,1,4.461525273149519
GA,700,701.77,51,MALE,PhD,Technician,yachting,Single Vehicle Collision,Unknown,Total Loss,Fire,MI,15,4,3,1,Yes,7395.74,6276.29,0,3,6,10.538695014035937
OH,500,1462.96,34,OTHER,PhD,Teacher,reading,Parked Car,Front,Total Loss,Police,MI,11,3,1,5,Yes,7921.66,6819.48,0,3,5,5.414816536337288
TX,400,1188.74,53,OTHER,High School,Engineer,camping,Multi-vehicle Collision,Side,Minor Damage,None,NY,2,4,4,1,No,16941.06,18774.54,0,8,0,14.251274458670526
OH,500,904.92,29,MALE,College,Manager,paintball,Parked Car,Side,Minor Damage,Police,NY,7,1,0,2,No,4923.28,5552.52,0,6,0,5.440569332095655
CA,400,689.79,28,MALE,PhD,Clerk,yachting,Multi-vehicle Collision,Rear,Total Loss,Fire,PA,12,4,1,1,No,23437.14,24819.14,0,2,4,33.97721045535598
FL,700,1267.55,73,OTHER,High School,Manager,camping,Multi-vehicle Collision,Front,Total Loss,Ambulance,IL,21,2,3,1,Yes,2521.34,3611.68,0,1,6,1.9891444124492133
CA,1000,1309.24,23,FEMALE,Masters,Doctor,paintball,Parked Car,Side,Minor Damage,Police,CA,7,1,0,1,No,15624.51,21331.81,0,6,0,11.93403042986771
PA,200,1451.58,33,OTHER,High School,Engineer,camping,Vehicle Theft,Unknown,Major Damage,Police,OH,19,2,1,2,Yes,9752.42,9952.51,0,12,2,6.718486063461883
MI,300,825.31,27,OTHER,High School,Technician,paintball,Single Vehicle Collision,Unknown,Minor Damage,Ambulance,OH,3,4,3,5,No,26799.86,23002.68,0,2,2,32.47247700863918
GA,200,807.73,63,MALE,Masters,Technician,hiking,Multi-vehicle Collision,Front,Minor Damage,Police,TX,1,4,1,3,No,5177.52,6762.77,0,3,5,6.409963725502334
MI,300,735.77,75,OTHER,High School,Manager,hiking,Parked Car,Front,Minor Damage,Police,GA,0,3,0,0,No,4302.12,7003.38,0,9,3,5.847098957554671
MI,700,1228.68,26,MALE,High School,Teacher,camping,Multi-vehicle Collision,Unknown,Minor Damage,Fire,NY,1,4,1,0,Yes,17553.36,23096.59,0,1,5,14.286356089461862
TX,400,1499.69,28,FEMALE,High School,Manager,reading,Multi-vehicle Collision,Unknown,Major Damage,None,CA,7,1,2,2,Yes,9186.22,8427.82,0,5,3,6.125412585267621
GA,1000,1323.72,36,MALE,Masters,Engineer,yachting,Vehicle Theft,Front,Minor Damage,Fire,MI,17,2,3,1,No,16706.67,24962.03,0,9,1,12.620999909346386
PA,400,1229.82,42,FEMALE,High School,Sales,movies,Multi-vehicle Collision,Unknown,Total Loss,None,FL,12,2,2,0,No,16474.2,15512.95,0,6,2,13.395618871054301
CA,400,1411.53,69,MALE,PhD,Teacher,reading,Parked Car,Unknown,Major Damage,Ambulance,FL,20,3,4,4,No,25074.25,22715.27,0,3,0,17.763880328437935
IL,300,998.57,24,OTHER,PhD,Sales,hiking,Vehicle Theft,Side,Minor Damage,Ambulance,CA,16,1,4,0,Yes,6037.09,7033.39,0,5,6,6.045735401624323
MI,700,739.02,50,FEMALE,High School,Lawyer,chess,Vehicle Theft,Unknown,Minor Damage,None,NY,8,1,1,1,Yes,1287.5,1930.14,0,11,4,1.7421720657086412
CA,300,1249.47,73,FEMALE,High School,Lawyer,hiking,Parked Car,Side,Total Loss,Ambulance,FL,6,3,3,1,Yes,18131.59,19263.14,0,4,4,14.511424844133913
MI,400,635.36,54,OTHER,College,Engineer,yachting,Parked Car,Unknown,Minor Damage,Police,FL,6,2,4,4,No,9937.87,9291.79,0,8,2,15.641321455552758
OH,700,1219.88,60,MALE,PhD,Sales,chess,Single Vehicle Collision,Rear,Major Damage,Fire,OH,18,4,4,5,Yes,8060.68,14117.85,1,7,1,6.607764698167032
MI,700,1232.35,59,OTHER,College,Technician,chess,Vehicle Theft,Front,Minor Damage,Police,NC,18,2,2,2,No,8132.52,14539.05,1,5,1,6.599196656793931
GA,400,1323.02,46,FEMALE,PhD,Clerk,camping,Multi-vehicle Collision,Side,Total Loss,Fire,GA,8,4,4,2,Yes,5861.13,11544.89,0,4,6,4.430114435155931
MI,700,1086.41,21,OTHER,PhD,Clerk,reading,Multi-vehicle Collision,Rear,Minor Damage,Ambulance,FL,2,3,4,0,No,16890.59,21055.18,1,11,4,15.547159912003755
NY,700,799.47,75,OTHER,Masters,Engineer,hiking,Single Vehicle Collision,Front,Total Loss,None,MI,10,2,1,4,Yes,22495.02,19545.5,0,7,3,28.137416038125256
MI,700,948.95,26,MALE,High School,Sales,hiking,Parked Car,Unknown,Minor Damage,Fire,FL,23,1,4,1,Yes,16710.22,18991.29,0,10,2,17.60916802782022
CA,200,1029.61,29,FEMALE,Masters,Lawyer,hiking,Multi-vehicle Collision,Unknown,Minor Damage,Fire,OH,14,2,3,1,Yes,21709.16,21097.88,0,7,1,21.084837948349378
PA,800,1427.02,72,MALE,Masters,Engineer,paintball,Parked Car,Rear,Total Loss,Police,OH,10,1,4,1,No,8168.68,11941.26,0,1,4,5.724292581743774
NC,700,1453.77,32,MALE,High School,Technician,reading,Single Vehicle Collision,Side,Major Damage,Ambulance,OH,4,1,0,1,No,6723.14,12059.51,0,10,1,4.624624252804777
MI,800,727.21,53,OTHER,PhD,Clerk,paintball,Parked Car,Unknown,Major Damage,None,NC,16,3,4,5,No,22633.23,24164.82,0,10,3,31.123375641149046
IL,300,999.97,44,MALE,Masters,Technician,yachting,Multi-vehicle Collision,Rear,Total Loss,Fire,GA,20,1,1,4,Yes,6783.28,9682.9,0,11,3,6.783483504505135
TX,700,1256.23,65,FEMALE,PhD,Clerk,chess,Multi-vehicle Collision,Unknown,Major Damage,Fire,NC,3,4,1,2,Yes,17619.23,18963.3,0,7,2,14.025481002682628
GA,1000,604.34,40,OTHER,High School,Doctor,hiking,Parked Car,Rear,Minor Damage,Fire,IL,11,1,0,2,No,1895.61,3770.79,0,8,4,3.136661481947248
GA,1000,1152.04,30,MALE,High School,Sales,hiking,Parked Car,Rear,Minor Damage,Police,NC,11,4,0,5,No,13292.9,17843.4,0,5,2,11.53857504947745
FL,300,1437.93,36,OTHER,PhD,Technician,yachting,Multi-vehicle Collision,Rear,Major Damage,Police,NC,1,1,0,0,Yes,4065.67,6322.24,0,8,6,2.827446398642493
GA,200,673.96,69,FEMALE,College,Technician,chess,Single Vehicle Collision,Unknown,Total Loss,Ambulance,IL,16,4,4,5,No,3316.97,3677.05,0,7,4,4.921612558608819
GA,500,1471.78,19,OTHER,College,Doctor,movies,Parked Car,Front,Total Loss,Ambulance,CA,0,1,4,2,Yes,13956.97,12776.24,0,10,3,9.483054532606776
MI,1000,695.69,54,OTHER,High School,Clerk,yachting,Single Vehicle Collision,Unknown,Major Damage,Ambulance,GA,8,1,3,0,No,3051.76,4142.25,0,11,4,4.386666475010421
IL,200,1431.0,65,OTHER,High School,Lawyer,camping,Single Vehicle Collision,Unknown,Total Loss,None,NC,22,2,4,2,No,11020.26,10196.22,0,9,5,7.701090146750524
PA,300,987.34,66,FEMALE,College,Doctor,yachting,Vehicle Theft,Side,Minor Damage,Police,GA,5,2,3,3,Yes,1052.17,973.62,0,10,2,1.0656612716997185
FL,700,728.16,74,OTHER,PhD,Lawyer,movies,Parked Car,Unknown,Minor Damage,Ambulance,NY,21,1,2,3,Yes,5179.8,5091.17,0,2,2,7.113546473302572
OH,500,1379.63,43,MALE,College,Lawyer,reading,Multi-vehicle Collision,Rear,Major Damage,None,CA,1,1,1,2,Yes,8936.4,9976.19,0,2,0,6.477388865130505
IL,1000,962.39,41,OTHER,High School,Teacher,chess,Multi-vehicle Collision,Rear,Total Loss,Ambulance,MI,9,3,0,5,No,26142.49,24228.61,0,11,3,27.164133043776435
IL,400,1367.69,54,MALE,College,Lawyer,yachting,Vehicle Theft,Unknown,Major Damage,Fire,MI,7,2,0,0,No,1494.89,1788.72,0,7,3,1.0930035315020217
TX,300,1110.93,25,MALE,College,Lawyer,paintball,Single Vehicle Collision,Rear,Minor Damage,None,MI,4,4,2,1,No,16890.25,16124.54,0,4,6,15.20370320362219
TX,400,1214.42,26,FEMALE,High School,Clerk,movies,Vehicle Theft,Rear,Total Loss,Police,PA,16,4,2,1,No,5067.36,6201.55,1,10,5,4.1726585530541325
PA,1000,1191.43,71,MALE,PhD,Lawyer,hiking,Vehicle Theft,Rear,Minor Damage,None,TX,7,4,0,5,Yes,14949.52,14443.92,1,7,0,12.547543707981164
OH,200,936.86,53,OTHER,College,Engineer,camping,Vehicle Theft,Front,Minor Damage,Fire,OH,10,4,2,0,No,10675.23,13142.4,0,12,0,11.394690775569455
NY,600,1059.08,28,MALE,PhD,Manager,camping,Single Vehicle Collision,Unknown,Total Loss,Fire,FL,0,2,3,2,Yes,4689.17,4870.01,0,11,0,4.427588095328021
TX,1000,793.62,22,OTHER,PhD,Lawyer,paintball,Parked Car,Front,Minor Damage,Police,NC,5,2,4,1,No,9766.83,9435.64,0,11,2,12.306683299312013
IL,200,1235.73,72,MALE,PhD,Technician,camping,Vehicle Theft,Front,Total Loss,None,IL,2,1,4,5,No,14829.68,12439.42,0,10,1,12.0007444992029
GA,300,705.01,54,FEMALE,Masters,Clerk,paintball,Parked Car,Side,Total Loss,None,GA,17,3,0,4,No,7275.13,13489.66,0,4,4,10.319186961887066
TX,600,842.82,39,OTHER,Masters,Technician,chess,Single Vehicle Collision,Side,Minor Damage,Ambulance,IL,17,1,3,0,No,14774.42,16664.08,0,12,3,17.529745378609903
IL,600,1374.6,32,OTHER,High School,Clerk,paintball,Vehicle Theft,Rear,Minor Damage,Police,IL,0,1,4,1,Yes,10277.89,10600.66,0,5,5,7.477004219409283
PA,400,1127.91,63,FEMALE,College,Technician,reading,Vehicle Theft,Unknown,Major Damage,None,GA,15,2,1,3,No,6050.8,8437.48,0,1,3,5.364612424750201
MI,800,1476.09,47,MALE,Masters,Engineer,hiking,Multi-vehicle Collision,Side,Minor Damage,Ambulance,NY,18,4,3,1,No,3962.45,4364.07,0,12,1,2.6844230365357125
FL,500,1153.89,30,FEMALE,PhD,Sales,yachting,Single Vehicle Collision,Side,Total Loss,Ambulance,NY,1,3,1,5,Yes,6542.55,9015.26,0,10,6,5.669994540207472
PA,600,865.03,30,FEMALE,PhD,Technician,paintball,Parked Car,Rear,Minor Damage,None,FL,20,4,4,2,No,21280.86,24012.23,0,9,6,24.601297064841685
GA,700,1056.49,25,FEMALE,High School,Clerk,reading,Single Vehicle Collision,Side,Major Damage,Fire,GA,17,1,0,1,No,18382.01,16396.32,0,2,2,17.399132978068888
NC,1000,687.69,73,OTHER,College,Engineer,hiking,Single Vehicle Collision,Unknown,Major Damage,Police,NC,14,2,0,2,No,21143.86,23158.99,0,9,0,30.746208320609576
FL,600,923.54,50,MALE,High School,Teacher,yachting,Vehicle Theft,Unknown,Total Loss,Police,TX,11,3,1,1,No,10010.93,16301.33,0,11,2,10.839736232323451
MI,200,1229.72,50,FEMALE,College,Teacher,camping,Multi-vehicle Collision,Side,Total Loss,None,CA,20,4,3,3,No,22048.22,21099.63,1,12,0,17.92946361773412
CA,1000,737.59,57,MALE,PhD,Technician,movies,Single Vehicle Collision,Side,Minor Damage,Fire,OH,9,3,4,4,No,11213.18,10006.62,0,10,0,15.202456649358044
MI,300,895.89,23,OTHER,College,Manager,camping,Vehicle Theft,Rear,Major Damage,None,TX,4,2,4,1,Yes,4794.86,9410.77,0,10,5,5.352063311344026
FL,700,674.88,74,OTHER,High School,Doctor,paintball,Multi-vehicle Collision,Rear,Minor Damage,Ambulance,MI,15,4,4,1,Yes,11167.54,15624.55,0,7,3,16.54744547178758
PA,200,916.66,46,OTHER,College,Sales,movies,Parked Car,Rear,Minor Damage,Fire,OH,23,1,3,0,No,25654.72,22985.55,0,9,3,27.987170815787753
NY,500,977.12,69,MALE,High School,Lawyer,movies,Parked Car,Front,Total Loss,Police,NC,4,2,0,2,Yes,4683.04,9109.49,0,10,1,4.792696905190764
NY,500,1302.9,60,OTHER,PhD,Teacher,paintball,Parked Car,Front,Minor Damage,Police,PA,16,2,1,3,No,7515.37,9342.93,0,8,6,5.768186353519073
CA,600,926.14,37,OTHER,Masters,Doctor,paintball,Single Vehicle Collision,Front,Total Loss,Fire,IL,2,2,0,1,No,20371.98,18839.9,1,11,1,21.99665277387868
MI,800,655.47,58,FEMALE,College,Doctor,hiking,Single Vehicle Collision,Front,Minor Damage,Ambulance,FL,7,2,4,3,No,23259.21,20308.74,0,7,6,35.48478191221566
NY,300,729.61,28,MALE,High School,Manager,chess,Multi-vehicle Collision,Unknown,Major Damage,Police,CA,22,4,4,0,Yes,21669.92,21457.38,0,11,0,29.700689409410504
NY,400,1413.6,34,FEMALE,College,Lawyer,paintball,Vehicle Theft,Front,Minor Damage,Ambulance,PA,20,2,1,0,Yes,10325.31,15389.64,0,8,6,7.304265704584041
NY,800,1106.42,27,MALE,College,Teacher,camping,Multi-vehicle Collision,Front,Major Damage,Ambulance,CA,22,2,1,3,No,8354.75,9433.8,0,3,0,7.551155980549881
NY,300,1331.04,70,FEMALE,High School,Clerk,reading,Parked Car,Front,Total Loss,Fire,NY,1,1,3,0,No,7134.77,11745.38,1,11,0,5.36029721120327
PA,1000,843.14,47,MALE,Masters,Technician,hiking,Parked Car,Side,Total Loss,None,CA,19,1,1,0,No,14621.56,15320.79,0,3,2,17.341793770904
IL,200,1381.38,66,FEMALE,College,Teacher,paintball,Vehicle Theft,Side,Total Loss,Fire,FL,10,4,2,1,Yes,20424.81,22635.27,0,6,2,14.785801155366373
NC,600,977.29,72,MALE,High School,Teacher,chess,Parked Car,Front,Minor Damage,Police,NY,17,1,2,0,Yes,22210.62,23833.63,0,8,6,22.726744364518208
TX,200,694.88,28,FEMALE,High School,Lawyer,paintball,Parked Car,Unknown,Minor Damage,Fire,GA,10,2,1,0,Yes,11742.64,16113.12,0,3,3,16.89880267096477
FL,1000,650.03,55,FEMALE,High School,Lawyer,yachting,Multi-vehicle Collision,Rear,Major Damage,Police,PA,1,4,0,5,No,9008.54,15383.32,1,12,0,13.85865267756873
OH,500,1034.26,18,MALE,Masters,Engineer,movies,Single Vehicle Collision,Front,Minor Damage,Fire,NC,20,1,0,2,Yes,19047.89,17230.67,0,11,0,18.416926111422658
FL,600,1462.38,44,MALE,Masters,Lawyer,paintball,Single Vehicle Collision,Front,Minor Damage,None,CA,10,2,0,2,Yes,23306.91,20665.14,0,11,1,15.937656423091124
PA,200,744.78,56,OTHER,High School,Clerk,movies,Vehicle Theft,Side,Minor Damage,None,OH,6,1,0,5,Yes,5939.05,9819.15,1,9,3,7.974234001987164
OH,200,998.9,39,OTHER,Masters,Technician,hiking,Vehicle Theft,Side,Major Damage,Police,IL,19,3,3,0,Yes,4259.1,3849.41,1,2,5,4.263790169186105
GA,700,781.02,63,FEMALE,Masters,Sales,movies,Vehicle Theft,Front,Total Loss,Fire,MI,3,1,4,2,No,24448.62,23695.26,0,1,5,31.303449335484366
CA,600,732.87,32,OTHER,College,Clerk,hiking,Multi-vehicle Collision,Rear,Total Loss,Police,CA,3,1,2,4,Yes,14620.2,14387.55,0,11,6,19.94924065659667
PA,1000,1387.27,29,MALE,Masters,Manager,paintball,Multi-vehicle Collision,Front,Total Loss,Police,CA,3,4,2,2,No,12555.76,18982.54,0,6,6,9.050696692064271
IL,800,1262.3,67,MALE,High School,Engineer,movies,Parked Car,Front,Major Damage,Police,IL,9,3,3,2,Yes,5338.9,7658.18,0,4,2,4.229501703240117
PA,1000,674.36,59,MALE,College,Doctor,chess,Single Vehicle Collision,Unknown,Major Damage,None,NC,18,3,0,5,Yes,8839.06,11636.62,0,8,4,13.107331395693693
TX,500,1327.27,73,FEMALE,PhD,Clerk,camping,Single Vehicle Collision,Rear,Total Loss,Fire,NC,20,4,0,4,No,6364.92,5829.53,0,4,6,4.795497524994914
TX,400,1183.37,40,FEMALE,Masters,Teacher,reading,Single Vehicle Collision,Unknown,Minor Damage,Ambulance,NC,23,4,1,0,No,16662.21,18817.59,0,6,0,14.0803045539434
FL,700,1426.93,47,MALE,College,Sales,movies,Single Vehicle Collision,Side,Minor Damage,Ambulance,CA,22,3,0,1,Yes,1568.68,2382.24,0,1,2,1.099339140672633
MI,800,1179.14,23,FEMALE,PhD,Teacher,paintball,Vehicle Theft,Unknown,Total Loss,Ambulance,TX,2,2,4,1,No,14408.86,23489.05,0,8,2,12.2198042641247
GA,1000,1267.58,63,FEMALE,Masters,Manager,yachting,Single Vehicle Collision,Unknown,Minor Damage,None,IL,11,3,2,3,Yes,7214.2,13562.85,1,3,6,5.691317313305669
GA,500,961.47,49,MALE,College,Engineer,movies,Multi-vehicle Collision,Unknown,Major Damage,Ambulance,OH,15,4,4,5,Yes,15136.07,16133.35,0,8,3,15.742633675517697
OH,1000,1238.87,36,MALE,Masters,Technician,hiking,Vehicle Theft,Side,Major Damage,Fire,GA,15,1,1,5,No,7557.41,6923.48,0,5,5,6.100244577720019
FL,700,621.26,73,FEMALE,High School,Manager,reading,Parked Car,Side,Major Damage,Police,MI,2,4,4,2,Yes,10180.2,11895.24,0,10,0,16.386376074429386
TX,1000,632.75,23,OTHER,PhD,Technician,hiking,Multi-vehicle Collision,Side,Minor Damage,Ambulance,OH,1,3,2,1,No,6695.47,13187.86,0,4,5,10.581540892927697
TX,500,1484.03,60,OTHER,PhD,Manager,yachting,Single Vehicle Collision,Front,Major Damage,Police,GA,0,3,2,0,Yes,14022.25,15924.82,0,9,3,9.448764512846775
OH,500,822.31,55,OTHER,College,Manager,chess,Multi-vehicle Collision,Front,Total Loss,Ambulance,IL,1,3,0,3,No,8165.99,11041.16,0,6,4,9.930549306222714
OH,800,1404.55,23,FEMALE,College,Engineer,reading,Parked Car,Unknown,Major Damage,Fire,TX,6,1,1,2,No,22956.42,20732.23,0,3,5,16.34432380477733
FL,500,1359.6,50,MALE,College,Teacher,reading,Vehicle Theft,Rear,Total Loss,Police,PA,18,4,1,5,No,16551.77,17564.03,0,12,0,12.173999705795824
TX,200,1233.69,39,OTHER,PhD,Teacher,yachting,Parked Car,Rear,Total Loss,Ambulance,CA,16,2,4,5,Yes,5285.09,5915.39,0,8,5,4.283969230519823
IL,700,1133.09,43,FEMALE,High School,Engineer,movies,Vehicle Theft,Side,Major Damage,Police,GA,7,3,0,4,No,4819.42,8725.34,0,5,2,4.253342629446911
OH,800,1019.86,49,MALE,College,Lawyer,paintball,Parked Car,Unknown,Total Loss,Police,CA,20,4,2,4,Yes,7386.01,7184.02,0,2,4,7.242180299256761
GA,300,846.53,33,FEMALE,High School,Sales,movies,Parked Car,Side,Total Loss,Police,OH,0,1,3,4,No,15724.8,16802.59,0,4,6,18.57559684831016
FL,300,1141.64,41,MALE,Masters,Lawyer,movies,Multi-vehicle Collision,Side,Major Damage,Ambulance,IL,0,2,3,4,No,4966.28,5730.81,0,10,5,4.350127886198801
GA,200,1400.0,55,FEMALE,PhD,Manager,chess,Multi-vehicle Collision,Side,Minor Damage,Police,MI,8,4,2,3,No,4367.05,6926.24,0,7,2,3.119321428571429
GA,600,622.54,65,OTHER,High School,Lawyer,camping,Parked Car,Front,Minor Damage,Police,GA,12,1,4,1,No,7111.2,8844.01,0,5,4,11.422880457480645
TX,300,1301.16,63,OTHER,College,Technician,paintball,Vehicle Theft,Rear,Total Loss,Fire,PA,4,1,2,2,No,2658.57,2746.57,0,3,5,2.043230655722586
TX,600,1269.03,74,MALE,Masters,Technician,paintball,Multi-vehicle Collision,Rear,Major Damage,None,OH,2,2,2,1,Yes,26091.64,24327.36,0,1,5,20.560301962916558
TX,500,620.88,18,MALE,PhD,Clerk,yachting,Multi-vehicle Collision,Unknown,Major Damage,Fire,NC,10,2,3,1,No,9233.55,17714.71,1,3,1,14.871714340935446
IL,500,1051.19,69,MALE,High School,Manager,movies,Multi-vehicle Collision,Front,Total Loss,Ambulance,PA,10,3,3,5,No,16415.93,15724.66,0,1,1,15.616520324584519
FL,700,604.27,51,MALE,High School,Doctor,reading,Multi-vehicle Collision,Front,Total Loss,Ambulance,IL,20,2,1,5,Yes,23911.75,24773.79,0,9,5,39.57130090853427
TX,200,1100.91,47,MALE,High School,Engineer,chess,Vehicle Theft,Side,Major Damage,None,FL,12,2,3,3,No,15889.51,21018.68,0,10,6,14.433069006549127
GA,700,905.48,26,FEMALE,PhD,Lawyer,chess,Parked Car,Unknown,Minor Damage,None,PA,0,2,0,4,No,8038.07,6800.7,0,12,5,8.8771369881168
PA,300,983.62,36,MALE,College,Teacher,chess,Parked Car,Unknown,Minor Damage,Ambulance,CA,10,4,2,0,Yes,1252.8,1539.94,0,10,2,1.2736625932778918
MI,300,834.18,61,OTHER,Masters,Lawyer,reading,Multi-vehicle Collision,Side,Total Loss,Fire,IL,11,4,4,3,Yes,13329.23,22409.46,0,8,3,15.978841497039008
CA,1000,1271.88,23,MALE,Masters,Clerk,chess,Multi-vehicle Collision,Side,Major Damage,None,FL,13,2,3,2,Yes,7061.9,7531.79,1,10,6,5.552331981004497
NC,300,1316.87,65,FEMALE,High School,Doctor,camping,Single Vehicle Collision,Rear,Minor Damage,Ambulance,CA,17,2,0,1,No,14154.46,18205.03,0,6,3,10.74856288016281
OH,800,718.65,53,MALE,College,Manager,hiking,Single Vehicle Collision,Front,Minor Damage,Fire,GA,21,4,1,4,No,10997.02,16278.88,0,5,4,15.302330759062132
NY,500,1453.26,54,FEMALE,College,Lawyer,hiking,Vehicle Theft,Unknown,Total Loss,None,NC,17,4,1,4,No,22953.78,22418.33,1,9,3,15.794682300483052
TX,1000,737.57,48,OTHER,High School,Lawyer,yachting,Vehicle Theft,Front,Major Damage,Ambulance,IL,1,1,0,2,No,3410.85,6238.81,0,11,3,4.624442425803652
IL,200,1318.28,64,OTHER,PhD,Manager,chess,Parked Car,Rear,Major Damage,Ambulance,MI,23,1,3,3,Yes,10942.85,20144.06,0,2,2,8.300854143277604
MI,700,950.93,26,OTHER,Masters,Sales,reading,Vehicle Theft,Unknown,Minor Damage,None,NC,10,4,0,4,No,8817.2,11692.45,0,3,0,9.272186175638586
OH,700,902.89,56,FEMALE,High School,Manager,camping,Multi-vehicle Collision,Unknown,Major Damage,Police,NC,2,2,4,5,No,1539.65,2770.98,0,5,0,1.705246486282936
GA,1000,1097.11,53,MALE,College,Engineer,paintball,Parked Car,Rear,Total Loss,Fire,OH,13,4,0,0,Yes,5119.28,8987.43,0,9,6,4.666150158142757
PA,400,1036.81,57,FEMALE,PhD,Doctor,paintball,Parked Car,Rear,Major Damage,None,MI,9,4,3,1,Yes,8827.95,11196.75,0,2,5,8.51453014534968
TX,1000,1182.04,31,MALE,PhD,Technician,movies,Vehicle Theft,Rear,Minor Damage,None,FL,17,1,2,0,Yes,7429.04,11891.52,0,8,6,6.284931136002166
GA,700,1187.5,73,FEMALE,Masters,Teacher,movies,Multi-vehicle Collision,Front,Major Damage,Police,GA,7,2,3,4,Yes,11654.29,18198.16,0,3,4,9.814138947368422
GA,1000,1326.08,18,FEMALE,PhD,Teacher,paintball,Parked Car,Rear,Minor Damage,Fire,IL,14,4,2,2,No,27125.11,23760.0,0,5,4,20.455108289092667
NY,500,1311.68,45,OTHER,College,Technician,paintball,Parked Car,Rear,Major Damage,Fire,NC,7,4,1,4,No,1986.62,3026.25,0,11,6,1.514561478409368
NY,800,1273.38,32,FEMALE,Masters,Technician,movies,Single Vehicle Collision,Rear,Total Loss,Fire,NY,6,1,2,4,Yes,6293.82,6221.08,0,4,2,4.942609433162135
FL,400,902.56,41,OTHER,College,Manager,movies,Parked Car,Front,Minor Damage,Fire,PA,8,2,3,1,No,12967.31,13889.91,0,8,1,14.367255362524375
